id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet,clean_desc,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1337841934170255365,Tamer Yazar,Turkey-Israel,"Im Market Analyst, also Editor... working (freelance) for some companies that need analysis for their products in Int. Markets 
- Instagram :  tamervisits -",2009-09-17 16:45:16,1302,78,339,False,2020-12-12 19:29:07,"while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !
-
The first U… https://t.co/uQ3A2f7SVP","['PfizerBioNTech', 'Vaccine']",Twitter Web App,0,0,False,while deaths are closing in on the mark millions of people wait #pfizerbiontech #vaccine the first https co uq svp,10,0.0,0.32030001282691956,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",while deaths are closing in on the mark millions of people wait #pfizerbiontech #vaccine the first https co uq svp
1337840331522453507,VoiceM,,campaigner & optimistic realist,2020-08-31 10:38:21,2,25,20,False,2020-12-12 19:22:45,@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US… https://t.co/9xWmfU3LZj,"['COVID19', 'CovidVaccine', 'vaccine', 'Corona', 'PfizerBioNTech', 'bbcnews', 'NYTimes', 'BBCNews']",Twitter Web App,0,0,False,cnnbrk #covid #covidvaccine #vaccine #corona #pfizerbiontech #bbcnews #nytimes #bbcnews best wishes to the us https co xwmfu lzj,11,0.0,0.36250001192092896,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",cnnbrk #covid #covidvaccine #vaccine #corona #pfizerbiontech #bbcnews #nytimes #bbcnews best wishes to the us https co xwmfu lzj
1337815730486702087,WION,India,#WION: World Is One | Welcome to India’s first global news network. We present global stories with an Indian perspective. | https://t.co/V3tpBavoXE,2016-03-21 03:44:54,292510,91,7531,True,2020-12-12 17:45:00,The agency also released new information for health care providers and for patients as the US shipped millions of d… https://t.co/sG6BtD7jD9,,TweetDeck,0,18,False,the agency also released new information for health care providers and for patients as the us shipped millions of https co sg btd jd,12,0.0,0.5112000107765198,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",the agency also released new information for health care providers and for patients as the us shipped millions of https co sg btd jd
1337809196453081088,Dr.Krutika Kuppalli,,"ID, Global Health, VHF, Pandemic Prep, Emerging Infections, & Health Policy MD| U.S. Congress COVID-19 expert witness x 2 | ELBI 2020 @JHSPH_CHS",2019-03-25 04:14:29,21924,593,7815,True,2020-12-12 17:19:02,For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech… https://t.co/ow0Pglkwte,['PfizerBioNTech'],Twitter for iPhone,48,82,False,for all the women and healthcare providers who have been asking about the safety of the #pfizerbiontech https co ow pglkwte,13,0.0,0.4668999910354614,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",for all the women and healthcare providers who have been asking about the safety of the #pfizerbiontech https co ow pglkwte
1337807109010780162,Opoyi,,"High-quality trusted conversations around news and information, in 12 languages.",2019-01-13 18:33:22,10332,49,16,False,2020-12-12 17:10:44,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… https://t.co/HiUVYJzOBY",,TweetDeck,0,0,False,expect sites across all the states to receive vaccine on monday another sites on tuesday said the offic https co hiuvyjzoby,14,3.0,0.4742000102996826,"receive, say, make, first_dose, may, could, become, come, end, datum",expect sites across all the states to receive vaccine on monday another sites on tuesday said the offic https co hiuvyjzoby
1337789467038523394,City A.M.,"London, England","London's business newspaper - News, Opinion, and Analysis. For all distribution queries, see @CityAMDist.",2009-06-09 13:53:06,66224,603,771,True,2020-12-12 16:00:38,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY",['vaccine'],Twitter for iPhone,0,1,False,trump announces #vaccine rollout in less than hours the first americans will be vaccinated against https co fzqsmnhoy,15,7.0,0.44350001215934753,"take, people, week, wait, vaccinated, die, would, must, medical, free",trump announces #vaccine rollout in less than hours the first americans will be vaccinated against https co fzqsmnhoy
1337789191598575616,STOPCOMMONPASS.ORG,Global,"'Trust' is not carte-blanche for erosion of our liberty, privacy, & the pursuit of global control.",2020-10-25 20:33:33,406,176,479,False,2020-12-12 15:59:32,"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW","['YellowFever', 'COVID19', 'ImmunityPassports', 'SARSCoV2', 'PfizerBioNtech', 'Britain', 'December']",Twitter Web App,2,2,False,updated #yellowfever amp #covid #immunitypassports part two #sarscov #pfizerbiontech #britain #december https co qkt rst aw,16,3.0,0.3797999918460846,"receive, say, make, first_dose, may, could, become, come, end, datum",updated #yellowfever amp #covid #immunitypassports part two #sarscov #pfizerbiontech #britain #december https co qkt rst aw
1337783770070409218,ILKHA,Türkiye,Official Twitter account of Ilke News Agency /,2015-05-22 08:31:12,4056,6,3,True,2020-12-12 15:38:00,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F","['Iran', 'coronavirus', 'PfizerBioNTech']",TweetDeck,3,5,False,coronavirus iran reports new cases deaths in the last hours #iran #coronavirus #pfizerbiontech https co mwdnadmb,17,0.0,0.5659999847412109,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",coronavirus iran reports new cases deaths in the last hours #iran #coronavirus #pfizerbiontech https co mwdnadmb
1337781178665816064,Braderz73🌹#GTTO 🇪🇺 🇬🇧,"Bristol, UK","One of those lefty types, I believe in a fairer future for all. I also luv throwin' myself down steep trails on my MTB! Ex-Labour.

#DisabilityRights",2012-07-24 08:18:51,6430,6292,45007,False,2020-12-12 15:27:42,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0,['CovidVaccine'],Twitter for Android,3,3,False,pfizer will rake in billions from its expensive #covidvaccine but albertbourla refuses to cut the price for lowe https co ec tul,18,2.0,0.45669999718666077,"give, need, pfizer, delay, question, trial, delivery, trust, malice, health",pfizer will rake in billions from its expensive #covidvaccine but albertbourla refuses to cut the price for lowe https co ec tul
1337776763384958976,Alex Vie,"Los Angeles, CA",Marine vet. Yogi. Krav Maga. Runner. Climber. Cyclist. 📷: artificer.vx 👻: QxGambit,2010-01-24 04:43:57,125,442,5401,False,2020-12-12 15:10:09,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD","['COVIDIOTS', 'coronavirus', 'CovidVaccine']",Twitter for iPhone,0,0,False,the trump administration failed to deliver on vaccine promises shocker #covidiots #coronavirus #covidvaccine https co hew ehturd,19,0.0,0.3531000018119812,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",the trump administration failed to deliver on vaccine promises shocker #covidiots #coronavirus #covidvaccine https co hew ehturd
1337774279862185986,Mani,,,2019-10-10 13:41:10,26,33,2515,False,2020-12-12 15:00:17,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine… https://t.co/GT9qVVNbKj,"['fda', 'vaccine']",Twitter Web App,0,0,False,how much did the #fda get paid to approve this all of sudden now money makes the world go around #vaccine https co gt qvvnbkj,20,1.0,0.3783999979496002,"covid, get, today, dose, day, first, vaccination, many, shoot, second",how much did the #fda get paid to approve this all of sudden now money makes the world go around #vaccine https co gt qvvnbkj
1337774059237629952,"Richard Dunne, MD","Rochester, NY","Husband, Girl Dad, GI Oncologist @wilmotcancer w/ research focus in #cachexia, weight loss, #pancreaticcancer & love of sport, @notredame alum, tweets my own",2012-04-23 12:18:55,1982,608,9110,False,2020-12-12 14:59:25,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE,['PfizerBioNTech'],Twitter for iPhone,0,2,False,anyone wondering why day after #pfizerbiontech approval in the uk people were getting vaccinated but all we are tol https co tpsyl cuye,21,7.0,0.3176000118255615,"take, people, week, wait, vaccinated, die, would, must, medical, free",anyone wondering why day after #pfizerbiontech approval in the uk people were getting vaccinated but all we are tol https co tpsyl cuye
1337773965595598848,City A.M.,"London, England","London's business newspaper - News, Opinion, and Analysis. For all distribution queries, see @CityAMDist.",2009-06-09 13:53:06,66224,603,771,True,2020-12-12 14:59:02,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS",['vaccine'],Buffer,1,0,False,trump announces #vaccine rollout in less than hours the first americans will be vaccinated against https co esxr zps,22,7.0,0.3107999861240387,"take, people, week, wait, vaccinated, die, would, must, medical, free",trump announces #vaccine rollout in less than hours the first americans will be vaccinated against https co esxr zps
1337773751841144833,BOOM Live,"Mumbai, India","IFCN certified fact-driven journalism. India's first independent online resource to fight misinformation, explain issues and keep the internet safe",2014-03-16 03:52:50,64185,1183,1794,True,2020-12-12 14:58:11,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa,,Twitter Web App,1,5,False,the us food and drug administration fda has granted emergency use authorization to pfizer biontech mrna https co dplokxgtba,23,0.0,0.3246999979019165,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",the us food and drug administration fda has granted emergency use authorization to pfizer biontech mrna https co dplokxgtba
1337770798770081796,DOCNOS Official,,An Innovative Healthtech Start-up creating unique solutions.,2020-11-10 16:53:37,7,0,5,False,2020-12-12 14:46:27,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!

#docnosofficial #covid19… https://t.co/qOd5TPLYvA","['docnosofficial', 'covid19']",Twitter Web App,0,3,False,presenting you the top medical news advancement of the past week you don want to miss #docnosofficial #covid https co qod tplyva,24,7.0,0.6018000245094299,"take, people, week, wait, vaccinated, die, would, must, medical, free",presenting you the top medical news advancement of the past week you don want to miss #docnosofficial #covid https co qod tplyva
1337770118017900550,Devan Surendran,"Nottingham, England","NHS Doctor | Singer | Travel, nature and dog lover!",2010-01-16 23:59:43,116,86,268,False,2020-12-12 14:43:45,"No.1 of 2 done.

#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream poss… https://t.co/3KvJ7UP432","['ThankYouNHS', 'PfizerBioNTech', 'CovidVaccine']",Twitter Web App,1,10,False,no of done #thankyounhs nhsuk mhragovuk and #pfizerbiontech pfizer for making the #covidvaccine dream poss https co kvj up,25,0.0,0.30709999799728394,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",no of done #thankyounhs nhsuk mhragovuk and #pfizerbiontech pfizer for making the #covidvaccine dream poss https co kvj up
1337769867676704770,Tamer Yazar,Turkey-Israel,"Im Market Analyst, also Editor... working (freelance) for some companies that need analysis for their products in Int. Markets 
- Instagram :  tamervisits -",2009-09-17 16:45:16,1302,78,339,False,2020-12-12 14:42:45,"Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w","['stayhome', 'StayAtHome', 'StayAtHomeSaveLives']",Twitter Web App,0,0,False,wear mask wash your hands and remain socially distant when possible #stayhome #stayathome #stayathomesavelives https co jrlrg bm,26,2.0,0.6531999707221985,"give, need, pfizer, delay, question, trial, delivery, trust, malice, health",wear mask wash your hands and remain socially distant when possible #stayhome #stayathome #stayathomesavelives https co jrlrg bm
1337769507402768384,Michael Finn,"Crete, Greece","Hellenic National Healthcare, Agios Nikolaos General Hospital, bassist & guitarist    e-mail:finnmike@ymail.com",2011-10-17 19:03:34,151,235,838,False,2020-12-12 14:41:19,"⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!
⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6","['PfizerBioNTech', 'FDA', 'vaccine']",Twitter for iPad,0,0,False,avgerinosmoscow #pfizerbiontech #fda approval apprentice style realdonaldtrump approve the #vaccine or you https co cop dv,27,0.0,0.5378000140190125,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",avgerinosmoscow #pfizerbiontech #fda approval apprentice style realdonaldtrump approve the #vaccine or you https co cop dv
1337765770420506625,Emiliano Pacelli,"Rome, Italy",#IBMCloud and #AIApplications passionate helping companies #B2BCollaboration and #SupplyChain innovation. Retweets/likes aren't endorsements.Opinion are my owns,2019-07-29 20:03:23,75,291,685,False,2020-12-12 14:26:28,"Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d… https://t.co/yt3vn67mVg","['supplychain', 'sharedvisibility']",Twitter for iPad,0,0,False,interesting and very detailed article showing up how well tested #supplychain with #sharedvisibility will help https co yt vn mvg,28,5.0,0.6535999774932861,"good, see, also, well, believe, article, happen, read, change, test",interesting and very detailed article showing up how well tested #supplychain with #sharedvisibility will help https co yt vn mvg
1337761915087560707,🦑Dr. Kraken-Elect Lipstick 💋,Not Today ,Married. National news investigative/independent contributor #StandWithIsrael #StandWithTrump #BackTheBlue 👉🏼On PARLER @LipstickPrime 🚫 DM’s for tips only.,2011-06-01 17:10:58,5166,5228,19389,False,2020-12-12 14:11:09,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong… https://t.co/ldxQhN6uix,"['Vaccine', 'TrumpVaccine', 'AstraZeneca', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerCovidVaccine', 'Pfizer']",Twitter for iPhone,0,0,False,#vaccine #trumpvaccine #astrazeneca #pfizerbiontech #pfizervaccine #pfizercovidvaccine #pfizer covid belong https co ldxqhn uix,29,1.0,0.36000001430511475,"covid, get, today, dose, day, first, vaccination, many, shoot, second",#vaccine #trumpvaccine #astrazeneca #pfizerbiontech #pfizervaccine #pfizercovidvaccine #pfizer covid belong https co ldxqhn uix
1337760271151063040,Andy Thomas,London,Retweets not necessarily endorsements.,2009-03-07 20:39:15,1151,4301,95963,False,2020-12-12 14:04:37,"@ZubyMusic 6 deaths so far. 
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f","['CovidVaccines', 'Pfizervaccine']",Twitter for Android,0,2,False,zubymusic deaths so far it only death nothing to worry about then #covidvaccines #pfizervaccine https co hkgtdm,30,0.0,0.5038999915122986,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",zubymusic deaths so far it only death nothing to worry about then #covidvaccines #pfizervaccine https co hkgtdm
1337758104847572999,Isabel Winnwa,"Berlin, Germany","Into (EU) politics, books, sports & all things science. Political scientist. @FU_Berlin & @scriptsberlin. Tweets & opinions are personal.",2020-03-30 13:47:15,230,652,6098,False,2020-12-12 13:56:01,@sbnumb3 @nytimes Please don’t spread fake news! There is no evidence that these cases are linked to the… https://t.co/bMcAhIPR5g,,Twitter for iPhone,0,3,False,sbnumb nytimes please don spread fake news there is no evidence that these cases are linked to the https co bmcahipr,31,2.0,0.31940001249313354,"give, need, pfizer, delay, question, trial, delivery, trust, malice, health",sbnumb nytimes please don spread fake news there is no evidence that these cases are linked to the https co bmcahipr
1337744008500703232,Contagion,"Cranbury, NJ","Providing timely news to improve the diagnosis, treatment, and prevention of infectious diseases.",2016-01-29 15:54:55,5998,815,5867,False,2020-12-12 13:00:00,"#ICYMI The #FDA Authorized the #PfizerBioNTech #COVID19 #Vaccine for the United States last night

https://t.co/CtYGB3fNnE","['ICYMI', 'FDA', 'PfizerBioNTech', 'COVID19', 'Vaccine']",TweetDeck,0,1,False,#icymi the #fda authorized the #pfizerbiontech #covid #vaccine for the united states last night https co ctygb fnne,32,0.0,0.5482000112533569,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",#icymi the #fda authorized the #pfizerbiontech #covid #vaccine for the united states last night https co ctygb fnne
1337742598153383936,Rob of the Green,"Cork, Ireland","In Pursuit of Betterness. I'm doing my bit to help others (& myself) get there, 1% at a time. Check out the podcasts, videos & words | Real me - @robodonohue",2016-12-16 20:29:07,2149,1812,17175,False,2020-12-12 12:54:24,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw,,Twitter for iPhone,0,0,False,all respect to due process but why not give approval now instead of the th of december surely multiple other cou https co xv srv ukw,33,2.0,0.5519999861717224,"give, need, pfizer, delay, question, trial, delivery, trust, malice, health",all respect to due process but why not give approval now instead of the th of december surely multiple other cou https co xv srv ukw
1337742528108519424,Rajat Kotra,"London, England","Ever-curious polymath,#global leader#startups#entrepreneurr#Digital#Analytics#AI#bigdata#IoT#fitness#trekking#singlemalt#meditation:doting dad;views personal",2009-12-03 12:03:28,754,917,220,False,2020-12-12 12:54:07,Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX,"['covid', 'Pfizervaccine', 'PfizerBioNTech']",Twitter for Android,0,0,False,vaccine anyone #covid #pfizervaccine #pfizerbiontech https co zkwnlikx,34,0.0,0.45339998602867126,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",vaccine anyone #covid #pfizervaccine #pfizerbiontech https co zkwnlikx
1337739607857917954,Shahjhan Malik | #WearAMask,"Nottinghamshire, England",Solicitor.Dual Qualified.Single Parent Of 2 Amazing Boys. HR activist.Occasionally Write 4 @geonews_english @thenews_intl.Pursuing Justice Until Justice Is Done,2017-06-22 06:22:55,41708,2868,47862,False,2020-12-12 12:42:31,"An immigrant Muslim couple find the COVID-19 Vaccine. 

#CovidVaccine #PfizerBioNTech #Pfizervaccine #PfizerProud","['CovidVaccine', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerProud']",Twitter for iPhone,2,37,False,an immigrant muslim couple find the covid vaccine #covidvaccine #pfizerbiontech #pfizervaccine #pfizerproud,35,4.0,0.36550000309944153,"thank, amp, time, scientist, work, already, great, team, nurse, let",an immigrant muslim couple find the covid vaccine #covidvaccine #pfizerbiontech #pfizervaccine #pfizerproud
1337735595704115200,John Berry,,English (not British or European) beer swilling northerner can argue with myself don't give a f about anything,2020-10-13 15:21:27,2,0,0,False,2020-12-12 12:26:34,"The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD","['FDA', 'EUA', 'PfizerBioNTech']",Twitter Web App,0,0,False,the #fda finally issues #eua now comes the problem transporting this #pfizerbiontech vaccine needs to be kept at https co nvagyoo yd,36,3.0,0.3321000039577484,"receive, say, make, first_dose, may, could, become, come, end, datum",the #fda finally issues #eua now comes the problem transporting this #pfizerbiontech vaccine needs to be kept at https co nvagyoo yd
1337734069816348673,Farooq Anees,"دبي, الامارات العربية المتحدة",Somethings are better not be disclosed.... \o/,2010-12-23 11:51:01,293,319,165,False,2020-12-12 12:20:30,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦‍♂️","['CovidVaccine', 'Pakistan', 'PfizerBioNTech', 'oxfordvaccine']",Twitter for Android,0,0,False,ladies and gentlemen now we have #covidvaccine experts in each and every household of #pakistan #pfizerbiontech #oxfordvaccine,37,0.0,0.3515999913215637,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",ladies and gentlemen now we have #covidvaccine experts in each and every household of #pakistan #pfizerbiontech #oxfordvaccine
1337733927885303808,KHuntson,USA🇺🇸,"RN, health educator, writer, researcher, wife, mom, truth-seeker. Covid-19 is a crime against humanity. There is no such thing as a risk-free world.",2014-01-31 01:25:24,2035,1672,6734,False,2020-12-12 12:19:56,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE

#PfizerBioNTech 
#CovidVaccine 

https://t.co/xRaOiACZSD","['PfizerBioNTech', 'CovidVaccine']",Twitter Web App,0,0,False,fact sheet for healthcare providers administering vaccine #pfizerbiontech #covidvaccine https co xraoiaczsd,38,0.0,0.5799999833106995,"pfizerbiontech, vaccine, covidvaccine, pfizervaccine, approve, go, country, use, think, know",fact sheet for healthcare providers administering vaccine #pfizerbiontech #covidvaccine https co xraoiaczsd
